タイトル,投稿日,カテゴリー,Twitter,Instagram,ステータス,AI生成,メモ
週末の勉強法,2025/6/1 17:00,勉強法,【週末の効率的な学習法】土日こそ差がつく時期！当塾では週末特別講座も実施。少人数制だから一人ひとりの進度に合わせた指導が可能です。#高校受験 #週末勉強 #少人数制塾,📚週末の勉強法📚 土日の時間を有効活用しましょう！朝型学習・苦手科目の集中対策・1週間の復習 少人数制の当塾では週末も個別フォローを実施しています。,予約済み,TRUE,土曜日投稿
塾の特徴紹介,2025/6/2 17:00,塾の特徴,【少人数制のメリット】大手塾では質問しづらい…そんな悩みを解決！当塾は1クラス最大8名。全員の理解度を確認しながら授業を進めます。#少人数制 #高校受験塾,🏫少人数制学習塾の強み🏫 1.最大8名の少人数制 2.質問しやすい環境 3.個々の理解度に合わせた指導 4.アットホームな雰囲気 5.保護者との密な連携,予約済み,TRUE,日曜定番
月曜モチベーション,2025/6/3 17:00,勉強法,【月曜日のモチベーション】新しい1週間の始まり！今週の目標を明確にして計画的に学習を進めましょう。当塾では週間学習計画の立て方も指導します。#月曜日 #勉強法,💪月曜日のスタートダッシュ💪 新しい週の始まり！週間計画のポイント：具体的な目標設定・優先順位をつける・予備時間も確保・小さな達成感を大切に,予約済み,TRUE,月曜定番
合格者の声,2025/6/4 17:00,合格体験談,【合格者の声】少人数制だから先生との距離が近く分からないことをすぐ聞けました。昨年度T高校合格のMさん。質問しやすい環境が合格の鍵でした！#合格体験談,🎊合格体験記🎊 T高校合格Mさん「大手塾から転塾して正解でした。少人数制なので恥ずかしがらずに質問できる環境が私には合っていました。」,予約済み,TRUE,実際の声
数学ポイント解説,2025/6/5 17:00,重要ポイント,【今週の数学ポイント】連立方程式の文章題攻略法！①問題文を図式化②未知数を設定③式を立てる 少人数制ならつまずきポイントも個別フォロー。#数学 #高校受験,📐今週の重要ポイント解説📐 連立方程式の文章題は苦手な人が多いですがコツを掴めば得点源に！解法：1.問題文を整理 2.x,yを設定 3.式を作る 4.検証,予約済み,TRUE,授業内容
入試情報,2025/6/6 17:00,入試情報,【2025年度入試トレンド】英語の長文読解が年々長文化！速読力と要点把握力が合否を分けます。当塾では個々のレベルに合わせた長文対策を実施中。#入試情報,📊2025年度入試情報📊 英語の変化：長文語数増加（800→1000語）・実用的題材・記述問題UP 対策：毎日10分音読・キーワード読み・時間配分訓練,予約済み,TRUE,最新情報
金曜応援メッセージ,2025/6/7 17:00,モチベーション,【金曜日の応援メッセージ】1週間お疲れさま！勉強は積み重ね。今週できるようになったことを振り返ってみましょう。小さな成長も大きな一歩です🌟 #頑張れ受験生,🌟金曜日の応援メッセージ🌟 今週も頑張りました！新しく理解できたこと・克服できた苦手・継続できた習慣 どんな小さな進歩も合格への確実な一歩です。,予約済み,TRUE,週末前
保護者向け情報,2025/6/8 17:00,保護者向け,【保護者の皆様へ】受験期のお子様の体調管理について。睡眠時間の確保と栄養バランスが大切です。当塾では学習面だけでなく生活面のアドバイスも行っています。,👨‍👩‍👧‍👦保護者の皆様へ 受験期の体調管理：栄養バランスの良い食事・最低6時間の睡眠・適度な運動・予防接種の確認・体調変化の早期発見,予約済み,TRUE,保護者連携
日曜特別講座,2025/6/9 17:00,塾の特徴,【日曜特別講座のご案内】少人数制を活かした弱点克服講座を開催！1人ひとりの苦手分野に特化した指導で効率的な学力向上を目指します。#日曜講座,📚日曜特別講座📚 少人数制だからできる特別プログラム：弱点克服コース・応用力養成コース・過去問演習コース 各コース最大6名まで！,予約済み,FALSE,特別講座
暗記法の紹介,2025/6/10 17:00,勉強法,【暗記科目の攻略法】エビングハウスの忘却曲線を活用！①学習直後②1日後③1週間後 このタイミングで復習すると記憶が定着します。#勉強法 #暗記,🧠効率的な暗記法🧠 最適な復習タイミング：20分後・1日後・1週間後・1ヶ月後 少人数制授業ではこの復習サイクルを授業に組み込んでいます！,下書き,FALSE,
転塾成功事例,2025/6/11 17:00,合格体験談,【転塾して良かった】大手塾では埋もれていた私もここでは主役になれました。S高校合格のKくん。少人数制で自信を取り戻し見事第一志望に合格！#転塾,✨転塾成功ストーリー✨ S高校合格Kくん「大手塾では質問もできずただ座っているだけでした。この塾では先生が名前を呼んで指導してくれます。」,下書き,FALSE,
理科実験対策,2025/6/12 17:00,重要ポイント,【理科の実験問題対策】図やグラフの読み取りがカギ！①実験の目的を理解②変化の要因を特定③結果から考察 少人数制で実験の本質から指導します。#理科,🔬理科実験問題の攻略法🔬 解法のコツ：1.実験の目的を明確に 2.条件の違いに注目 3.グラフは縦軸横軸から 4.考察は論理的に,下書き,FALSE,
推薦入試対策,2025/6/13 17:00,入試情報,【私立高校の推薦入試】内申点だけでなく面接も重要！当塾では少人数制を活かした面接練習も実施。一人ひとりの個性を引き出す指導を行います。#推薦入試,🏫私立推薦入試情報🏫 面接頻出質問：志望動機・中学で頑張ったこと・将来の夢・長所短所 少人数制だから1対1の面接練習が可能！,下書き,FALSE,
週末エール,2025/6/14 17:00,モチベーション,【金曜日のエール】今週も本当によく頑張りました！週末は適度にリフレッシュして来週への英気を養いましょう。継続は力なり💪 #金曜日 #応援,🎉金曜日お疲れさま🎉 小さな成功体験：毎日勉強を続けた・苦手問題に挑戦した・質問する勇気を出した どれも素晴らしい成長です！,下書き,FALSE,
進路相談会案内,2025/6/15 17:00,保護者向け,【進路相談会のお知らせ】少人数制だから可能なじっくり個別相談。お子様の現状と目標を踏まえ最適な進路をご提案します。お気軽にご予約ください。,📋進路相談会のご案内📋 1組60分のじっくり相談。相談内容：現在の学力と志望校・併願校選定・今後の学習計画・ご家庭での接し方,下書き,FALSE,